2dc47f81fc4257e14c4d0fcd90d03b9a	StateAdminArea			Guam	2020-03-28	1	55			0				
948b13d5a3e11e21baadc349e199020e	Country			Guatemala	2020-03-28	1	34			23				
8e4d9eeed250a9d065ac2bb8bdc67b30	Country			Guinea	2020-03-28	0	8			8				
2d65f5236205dd23c6a8212627568fb8	Country			Guinea-Bissau	2020-03-28	0	2			2				
cf4c7e1169281886577940e361854a84	Country			Guyana	2020-03-28	1	8			7				
b88959cb7d907d91065ac7ec19eb0b44	Country			Haiti	2020-03-28	0	8			8				
f4270ce39e7e926052e097a0e4e63bde	Country			Honduras	2020-03-28	1	95			91				
fa79c3005daec47ecff84a116a0927a1	Country			Hungary	2020-03-28	11	343			298				
b78edab0f52e0d6c195fd0d8c5709d26	Country			Iceland	2020-03-28	2	963			847				
7d31e0da1ab99fe8b08a22118e2f402b	Country			India	2020-03-28	24	987			879				
4647d00cf81f8fb0ab80f753320d0fc9	Country			Indonesia	2020-03-28	102	1155			994				
21fc68909a9eb8692e84cf64e495213e	Country			Iran	2020-03-28	2517	35408			21212				
5ae2ff99743a8487c917e98bbf3db2d3	Country			Iraq	2020-03-28	42	506			333				
5a548c2f5875f10bf5614b7c258876cf	Country			Israel	2020-03-28	12	3619			3518				
1007e1b7f894dfbf72a0eaa80f3bc57e	Country			Italy	2020-03-28	10023	92472			70065				
4413f999927923b7c6fd336d7cdbabeb	Country			Ivory Coast	2020-03-28	0	101			98				
1add2eb41fcae9b2a15b4a7d68571409	Island			Jamaica	2020-03-28	1	30			27				
53a577bb3bc587b0c28ab808390f1c9b	Country			Japan	2020-03-28	52	1693			1237				
6ea1e24d60afddf388b06f8243c45b70	Country			Jordan	2020-03-28	1	246			227				
7c1a943bf29d2c753fb935e99428482c	Country			Kazakhstan	2020-03-28	1	228			211				
94984a8c4896946d9bafd24959cb6181	Country			Kenya	2020-03-28	1	38			36				
05387f3ca38d7bd84ae35f31f2899ecf	Country			Kuwait	2020-03-28	0	235			171				
5e4a24f76c22f03700b283dfbdf6eec1	Country			Kyrgyzstan	2020-03-28	0	58			58				
601aebf4afb1db3fdb5c88f3cdda23ef	Country			Laos	2020-03-28	0	8			8				
a09f4b2ae67f0a63ab8912047a1a1b55	Country			Latvia	2020-03-28	0	305			304				
b45ff92cc522bb89bfc3b8ef3fc21b7d	Country			Lebanon	2020-03-28	8	412			374				
642cab67fc263bb61ae4ccbd577c8aa4	Country			Liberia	2020-03-28	0	3			3				
742b8abe5776a6d942a92ce7dc7d84a0	Country			Libya	2020-03-28	0	3			3				
da4e3775bd2de6c37fadd9b0188f7a4e	Country			Liechtenstein	2020-03-28	0	56			56				
d9051e0b77f8bb5521389618e70e2ada	Country			Lithuania	2020-03-28	7	394			386				
06630c890abadde9228ea818ce52b621	Country			Luxembourg	2020-03-28	18	1831			1773				
b5bcce260d9e303ca0e63f055187ed28	Country			Madagascar	2020-03-28	0	26			26				
3f0e49c46cbde0c7adf5ea04a97ab261	Country			Malaysia	2020-03-28	27	2320			1973				
62235142f3fca96e1f2cd0ed4a7de48d	Country			Maldives	2020-03-28	0	16			7				
e90c93ceb8ccdcdf3b797f47edee866d	Country			Mali	2020-03-28	0	18			18				
92468e8a62373add2b9caefddbcf1303	Country			Malta	2020-03-28	0	149			147				
d7fe73b6846dfc672236e636aa2cf6b5	Country			Mauritania	2020-03-28	0	5			5				
07f3ca235faaa1c9ad16facef5526d8b	Country			Mauritius	2020-03-28	2	102			100				
8dbb07a18d46f63d8b3c8994d5ccc351	Country			Mexico	2020-03-28	12	717			701				
0c12f5495afe76d9242ed25668979de9	Country			Moldova	2020-03-28	2	231			227				
d6a297c6193fd59309453a0db7a51b90	Country			Monaco	2020-03-28	0	42			41				
bb6a72b6a93150d4181e50496fc15f5a	Country			Mongolia	2020-03-28	0	12			12				
4e92f9d2cdf0b8eb493ae3a19709d121	Country			Montenegro	2020-03-28	1	84			83				
4d4a1722d8e85909a576da2c42878ff0	Country			Morocco	2020-03-28	25	402			366				
a6d3bea3fa66775952e080b90bb0c4f1	Country			Mozambique	2020-03-28	0	8			8				
69f4287626aee77f93e2c891b518838b	Country			Namibia	2020-03-28	0	8			6				
7fef6b003c726890ea5ca3708fe8ff56	Country			Nepal	2020-03-28	0	5			4				
a67d4cbdd1b59e0ffccc6bafc83eb033	Country			Netherlands	2020-03-28	640	9819			9173				
23113b12a9d8135100497751756d4bee	Country			New Zealand	2020-03-28	0	451			401				
3bfe17f6c2d1b8941df303de7aec2eb0	Country			Nicaragua	2020-03-28	1	4			3				
bf2ec44b27fc25c6fd8a38792b9ef2a8	Country			Niger	2020-03-28	1	10			9				
5d839147c83e283c1d1bb705dc50586f	Country			Nigeria	2020-03-28	1	89			85				
28f9f2e9021c7754f9968e027d577267	Country			Republic of Macedonia	2020-03-28	4	241			234				
d5b9290a0b67727d4ba1ca6059dc31a6	Country			Norway	2020-03-28	23	4015			3985				
1c77b9733832da9d1ffac66620f3c006	Country			Oman	2020-03-28	0	152			129				
b9698b8546220246fe600a949db326bf	Country			Pakistan	2020-03-28	12	1495			1454				
6bec347f256837d3539ad619bd489de7	Country			Panama	2020-03-28	14	786			770				
eb0d4e456fe36b15e8f1667652266f59	Country			Papua New Guinea	2020-03-28	0	1			1				
73101738da81e5cbb87b64cd400a4405	Country			Paraguay	2020-03-28	3	56			52				
84c8fa2341f7d052a1ee3a36ff043798	Country			Peru	2020-03-28	16	671			639				
77dab2f81a6c8c9136efba7ab2c4c0f2	Country			Philippines	2020-03-28	68	1075			972				
94880bda83bda77c5692876700711f15	Country			Poland	2020-03-28	18	1638			1613				
ea71b362e3ea9969db085abfccdeb10d	Country			Portugal	2020-03-28	100	5170			5027				
f6b08d8b536b97948b313e0a65c0d3ae	StateAdminArea			Puerto Rico	2020-03-28	3	100			0				
7cc7ef17c45527cf90fcf27516794d21	Country			Qatar	2020-03-28	1	590			544				
10e71bd23d3dea9ac62d72d53e2ab9f0	Country			Republic of Ireland	2020-03-28	36	2415			2374				
91e413e69786750ed24de784189fcb4d	Country			Republic of the Congo	2020-03-28	0	4			4				
0c7d5ae44b2a0be9ebd7d6b9f7d60f20	Country			Romania	2020-03-28	37	1452			1276				
5feb168ca8fb495dcc89b1208cdeb919	Country			Russia	2020-03-28	4	1264			1211				
9d7ed5d77d647e89c3cc11757d651dc2	Country			Rwanda	2020-03-28	0	60			60				
a5c8a719698619d78137f873432fa91d	Country			Saint Kitts and Nevis	2020-03-28	0	2			2				
02d848ec22375579f19438265ed082d1	Country			Saint Lucia	2020-03-28	0	3			2				
54a0d1f73c3bf9eb699b7f36d90260fd	Country			San Marino	2020-03-28	22	224			196				
53d2fba69d071e53f12b61227d3d30de	Country			Saudi Arabia	2020-03-28	4	1203			1162				
9986531359550785caffb2032622437f	Country			Senegal	2020-03-28	0	130			112				
2ff6e535bd2f100979a171ad430e642b	Country			Serbia	2020-03-28	10	659			649				
d2e4449b45608e33e472d939a73868f7	Country			Seychelles	2020-03-28	0	8			8				
458e4cbc78201c1aec5fc53a31c59378	CityTown		458e4cbc78201c1aec5fc53a31c59378	Singapore	2020-03-28	2	802			602				
88a392b5a8d8f73986d83a2deefb0472	Country			Slovakia	2020-03-28	0	292			290				
00247297c394dd443dc97067830c35f4	Country			Slovenia	2020-03-28	9	684			665				
921855f753932de762b780405a50bdf7	Country			Somalia	2020-03-28	0	3			3				
1287b11a755a7d660aa421359e6d24d0	Country			South Africa	2020-03-28	1	1187			1155				
aa292756f481473cfd6a988c22d480b1	Country			South Korea	2020-03-28	144	9478			4523				
907eba32d950bfab68227fd7ea22999b	Country			Spain	2020-03-28	5982	73235			54968				
999309971ba0008ba9f444f6df579961	Country			Sri Lanka	2020-03-28	1	113			103				
74458a3d3e5f3074226b1f9fa23c9163	Country			Sudan	2020-03-28	1	5			4				
64446ac025106d201779cb4bf5ab6b2e	Country			Suriname	2020-03-28	0	8			8				
c8f4261f9f46e6465709e17ebea7a92b	Country			Sweden	2020-03-28	105	3447			3326				
3ad08396dc5afa78f34f548eea3c1d64	Country			Switzerland	2020-03-28	264	14076			12282				
465718d0a1bc8363ad01390923fad5d1	Country			Syria	2020-03-28	0	5			5				
551fe18ef47d4e6e9d943b9a68ada21d	Country			Taiwan	2020-03-28	2	283			251				
c03b1123e45fa00da3142e0424ee5eec	Country			Tanzania	2020-03-28	0	14			13				
103357e3e40a9c0e4e9d36110f7bbc7a	Country			Thailand	2020-03-28	6	1245			1142				
1e746c5c85c4c0de3a0858b0dd047476	Country			Togo	2020-03-28	1	25			23				
6d196050243a291b44c87f63346173dd	Country			Trinidad and Tobago	2020-03-28	3	74			70				
d6dacba23ab4a1d5b72f223bfb010a05	Country			Tunisia	2020-03-28	8	278			268				
221cdfb73049678e244380b45872cbb2	Country			Turkey	2020-03-28	108	7402			7224				
53b3c88ea00c4f0e137b4e6fe7bd23f1	Country			Uganda	2020-03-28	0	30			30				
f01fc92b23faa973f3492a23d5a705c5	Country			Ukraine	2020-03-28	9	356			342				
edab6ab6fad43f4911b41103922c3e9e	Country			United Arab Emirates	2020-03-28	2	468			414				
5ad75a758f27c089b52a1eac8dca7e0d	Country			United Kingdom	2020-03-28	1021	17312			16140				
09d4bca31e2fd8b0f57f79f85ed42bd8	Country			United States	2020-03-28	2026	121478			0				
75497a22409db78dcc52c291e078bc10	Country			Uruguay	2020-03-28	0	274			274				
a0a3e881895e46eb96218f0988d405b9	Country			Uzbekistan	2020-03-28	2	104			97				
edb3fc76459aacac8c76607a4da9188e	Country		1007e1b7f894dfbf72a0eaa80f3bc57e	Vatican City	2020-03-28	0	6			6				
e95294b730f61c8175550ec244bfcb50	Country			Venezuela	2020-03-28	2	119			78				
fdef6daa799e80dbce1b561577b21181	Country			Vietnam	2020-03-28	0	174			153				
b0aa0804e676a38255af4fd70236af7c	Country			Zambia	2020-03-28	0	28			28				
9d5116a2451bc98c2b46b93acbc1b4f0	Country			Zimbabwe	2020-03-28	1	7			6				
213fe69502445ed67ae8b99d22838802	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Alabama	2020-03-28	4	694			0				
e15997c74a71c5d9263df6f7a21bc191	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Alaska	2020-03-28	2	85			0				
3fe5003edc0cb6c83962dbd74d35dd50	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Arizona	2020-03-28	15	773			0				
46aaf459104e9ce5d45eaa017ac349c2	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Arkansas	2020-03-28	5	409			0				
356779a9a1696714480f57fa3fb66d4c	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	California	2020-03-28	110	5095			0				
15e49475e42539feed93fc5cce25d3cb	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Colorado	2020-03-28	31	1740			0				
f7529880ccaf91ff331809e9fe98f883	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Connecticut	2020-03-28	33	1524			0				
ba290ff950475708a10987cb31e6274c	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Delaware	2020-03-28	5	214			0				
eeaca0ed2f6a35370c77de30792debb8	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Florida	2020-03-28	54	3763			0				
7f3097563d468719d72c6df98a69f6de	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Georgia	2020-03-28	69	2366			0				
a85df3d66bde576d3b62caaf527f2daa	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Hawaii	2020-03-28	0	149			0				
47b231eae4bf87fa405e34eb9273b741	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Idaho	2020-03-28	4	234			0				
66c2b329479ee151b4c6b257c0b7a9b7	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Illinois	2020-03-28	47	3491			0				
c5376d00573c5858adf7ed894d0491b9	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Indiana	2020-03-28	31	1233			0				
0daaf4a9abe3920c453a7f1f82a9bb19	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Iowa	2020-03-28	3	298			0				
7c0e2b92f76ed5847aa48a3a1e70ae7d	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Kansas	2020-03-28	4	266			0				
980ceec1dba2d36c2ba867f683b47838	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Kentucky	2020-03-28	9	393			0				
39da6b7e3479522718668deaf7e6f304	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Louisiana	2020-03-28	137	3315			0				
41695c8c512c53044b7b787368687ac8	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Maine	2020-03-28	1	211			0				
11ea71f253acf02a2d126a0901e765a7	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Maryland	2020-03-28	5	995			0				
aeb264fc98dd9ebbcefe8d1eafee79f9	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Massachusetts Bay	2020-03-28	44	4257			0				
8eadc5d3e1f1919c527b6d865e226a88	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Michigan	2020-03-28	111	4650			0				
45009b4a16ef03ba8bb5b15665ef4469	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Minnesota	2020-03-28	5	441			0				
14c5492ce2fe855f408481fdbd13f7a6	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Mississippi	2020-03-28	13	663			0				
06fa309b609b7c8f7c39a88abe2d507c	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Missouri	2020-03-28	10	836			0				
a8088b760fb315d2964735686800b203	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Montana	2020-03-28	1	129			0				
20639b767478006218447b27e4b853cb	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Nebraska	2020-03-28	2	96			0				
8fcebe1ce891c49c60a3c26b317ebafb	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Nevada	2020-03-28	10	626			0				
86db7eb10eb3963430f2f777499fe29a	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	New Hampshire	2020-03-28	2	187			0				
5ac9ad692818005c50aae8afe95861d6	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	New Jersey	2020-03-28	140	11124			0				
2a18ef32f87bb40c0d17130828cfb473	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	New Mexico	2020-03-28	1	208			0				
fede9f03ea10983a84201b04a1453558	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	New York (state)	2020-03-28	728	52410			0				
