regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Earth	Earth	2020-01-31	2020-06-11T01:02:56.394Z	213	9858			2012			249	5	26.71	1279.43		https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
England	England	2020-01-31			2			1			0					https://www.gov.uk/
Kent	Kent	2020-01-31			1			1								https://www.gov.uk/
South_East_England	South East England	2020-01-31			1			1								https://www.gov.uk/
