regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abruzzo	Abruzzo	2021-03-09		1813	57767	42510	1076297				273		13.29	408.14	339.29	http://www.salute.gov.it/
Adygea	Adygea	2021-03-09	2021-03-08T07:40:00.000Z	154	13879	12380		10			0		0.43	10.86	18.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2021-03-09	2021-03-08T12:00:00.000Z		2304									25.57		https://www.fhi.no/
Akmola_Region	Akmola Region	2021-03-09		104	14102	13057							0.0	52.71	63.71	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2021-03-09		50	4401	4136							0.0	18.29	15.71	https://www.coronavirus2020.kz/
Almaty	Almaty	2021-03-09		452	25996	23808							0.0	117.29	76.86	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2021-03-09		114	11256	10114							0.0	48.86	41.57	https://www.coronavirus2020.kz/
Altai_Krai	Altai Krai	2021-03-09	2021-03-08T07:40:00.000Z	1563	44559	40003		123			0		5.86	108.86	128.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2021-03-09	2021-03-08T07:40:00.000Z	175	16359	16112		9			0		1.71	19.0	25.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amstetten_District	Amstetten District	2021-03-09	2021-03-08T21:00:00.000Z	122	7595	7254							0.0	12.29	9.0	https://info.gesundheitsministerium.at/
Amur_Oblast	Amur Oblast	2021-03-09	2021-03-08T07:40:00.000Z	190	21289	19853		30			0		1.71	28.57	47.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Aosta_Valley	Aosta Valley	2021-03-09		417	8151	7533	80483				30		0.29	12.57	6.86	http://www.salute.gov.it/
Apulia	Apulia	2021-03-09		4122	156051	116722	1626872				594		18.57	1049.86	731.86	http://www.salute.gov.it/
Arkhangelsk_Oblast	Arkhangelsk Oblast	2021-03-09	2021-03-08T07:40:00.000Z	703	57611	52459		118			0		5.86	101.57	185.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Astrakhan_Oblast	Astrakhan Oblast	2021-03-09	2021-03-08T07:40:00.000Z	585	29029	22832		85			0		2.0	77.43	252.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Atyrau_Region	Atyrau Region	2021-03-09		128	17441	16819							0.0	33.71	23.86	https://www.coronavirus2020.kz/
Austria	Austria	2021-03-09	2021-03-08T21:00:00.000Z	8561	473785	431572	16533132						15.0	2085.57	1385.43	https://info.gesundheitsministerium.at/
Auvergne-Rhône-Alpes	Auvergne-Rhône-Alpes	2021-03-09		9307		38091							25.43		108.71	https://www.santepubliquefrance.fr/
Baden_District,_Austria	Baden District, Austria	2021-03-09	2021-03-08T21:00:00.000Z	95	6916	6064							0.14	54.14	39.57	https://info.gesundheitsministerium.at/
Bahrain	Bahrain	2021-03-09	2021-03-09T00:00:00.000Z	473	127255	120489	3210185	653	0	718	177	-1	2.86	602.29	656.29	https://www.moh.gov.bh/COVID19
Banteay_Meanchey_Province	Banteay Meanchey Province	2021-03-09	2021-03-09T07:00:00.000Z		58			0			0			0.0		http://www.cdcmoh.gov.kh/
Bashkortostan	Bashkortostan	2021-03-09	2021-03-08T07:40:00.000Z	301	29657	23924		133			0		3.0	114.43	125.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Basilicata	Basilicata	2021-03-09		380	16617	12559	261772				28		0.71	108.57	180.14	http://www.salute.gov.it/
