regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Banteay_Meanchey_Province	Banteay Meanchey Province	2021-03-07	2021-03-07T07:00:00.000Z		58			0			0			0.0		http://www.cdcmoh.gov.kh/
Battambang_Province	Battambang Province	2021-03-07	2021-03-07T07:00:00.000Z		26			0			0			0.0		http://www.cdcmoh.gov.kh/
Cambodia	Cambodia	2021-03-07	2021-03-07T07:00:00.000Z	0	953	491		0	0	0	-21	0	0.0	21.14	2.0	http://www.cdcmoh.gov.kh/
Earth	Earth	2021-03-07	2021-03-06T18:58:58.154Z	2509897	112791162								6675.14	271333.0	192425.86	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
Kampong_Cham_Province	Kampong Cham Province	2021-03-07	2021-03-07T07:00:00.000Z		16			0			0			0.0		http://www.cdcmoh.gov.kh/
Kampong_Chhnang_Province	Kampong Chhnang Province	2021-03-07	2021-03-07T07:00:00.000Z		3			0			0			0.0		http://www.cdcmoh.gov.kh/
Kampot_Province	Kampot Province	2021-03-07	2021-03-07T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Kandal_Province	Kandal Province	2021-03-07	2021-03-07T07:00:00.000Z		13			0			0			0.29		http://www.cdcmoh.gov.kh/
Kazakhstan	Kazakhstan	2021-03-07		2540	217299	201182							0.0	641.43	662.71	https://www.coronavirus2020.kz/
Kep_Province	Kep Province	2021-03-07	2021-03-07T07:00:00.000Z		4			0			0			0.0		http://www.cdcmoh.gov.kh/
Koh_Kong_Province	Koh Kong Province	2021-03-07	2021-03-07T07:00:00.000Z		4			0			0			0.29		http://www.cdcmoh.gov.kh/
Malaysia	Malaysia	2021-03-07	2021-03-06T04:00:00.000Z	1166	311777	289452							5.14	1575.0	2290.71	http://www.moh.gov.my/
New_Zealand	New Zealand	2021-03-07	2021-03-06T01:00:00.000Z	26	2398	2301	1772480						0.0	3.14	2.29	https://www.health.govt.nz/
North_Kazakhstan_Region	North Kazakhstan Region	2021-03-07		42	12514	12309							0.0	29.14	78.14	https://www.coronavirus2020.kz/
Nur-Sultan	Nur-Sultan	2021-03-07		385	25580	23800							0.0	75.29	86.29	https://www.coronavirus2020.kz/
Pavlodar_Region	Pavlodar Region	2021-03-07		107	18007	17351							0.0	67.43	66.29	https://www.coronavirus2020.kz/
Phnom_Penh	Phnom Penh	2021-03-07	2021-03-07T07:00:00.000Z		642			0			-11			11.0		http://www.cdcmoh.gov.kh/
Preah_Vihear_Province	Preah Vihear Province	2021-03-07	2021-03-07T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Shymkent	Shymkent	2021-03-07		94	6275	5595							0.0	18.29	1.57	https://www.coronavirus2020.kz/
Siem_Reap_Province	Siem Reap Province	2021-03-07	2021-03-07T07:00:00.000Z		9			0			0			0.0		http://www.cdcmoh.gov.kh/
Singapore	Singapore	2021-03-07	2021-03-06T04:00:00.000Z	29	60020	59879	7543963	13	0	9	4	0	0.0	12.0	8.0	https://www.moh.gov.sg/covid-19
Tboung_Khmum_Province	Tboung Khmum Province	2021-03-07	2021-03-07T07:00:00.000Z		8			0			0			0.0		http://www.cdcmoh.gov.kh/
Turkistan_Region	Turkistan Region	2021-03-07		48	4320	4189							0.0	5.14	2.86	https://www.coronavirus2020.kz/
Vietnam	Vietnam	2021-03-07		35	2507	1920							0.0	8.43	6.29	https://ncov.moh.gov.vn/
West_Kazakhstan_Region	West Kazakhstan Region	2021-03-07		199	13331	11046							0.0	51.14	75.71	https://www.coronavirus2020.kz/
