regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Adygea	Adygea	2021-02-11	2021-02-10T08:00:00.000Z	130	13416	11593		34			0		1.14	31.0	35.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Akmola_Region	Akmola Region	2021-02-11		104	12263	9924							0.43	109.43	159.43	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2021-02-11		50	4035	3871							0.0	7.71	7.71	https://www.coronavirus2020.kz/
Almaty	Almaty	2021-02-11		452	23107	21419							3.29	95.43	92.71	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2021-02-11		114	9830	8219							0.86	49.29	112.43	https://www.coronavirus2020.kz/
Altai_Krai	Altai Krai	2021-02-11	2021-02-10T08:00:00.000Z	1309	40786	36507		175			0		10.43	151.71	124.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2021-02-11	2021-02-10T08:00:00.000Z	137	15757	14784		26			0		0.29	32.14	48.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amur_Oblast	Amur Oblast	2021-02-11	2021-02-10T08:00:00.000Z	146	20243	18611		49			0		0.86	60.14	66.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Arkhangelsk_Oblast	Arkhangelsk Oblast	2021-02-11	2021-02-10T08:00:00.000Z	524	53581	47147		224			0		6.0	199.14	314.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Astrakhan_Oblast	Astrakhan Oblast	2021-02-11	2021-02-10T08:00:00.000Z	508	26031	16225		147			0		2.29	131.29	91.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Atyrau_Region	Atyrau Region	2021-02-11		128	16541	15663							0.14	35.71	77.29	https://www.coronavirus2020.kz/
Bahrain	Bahrain	2021-02-11	2021-02-11T00:00:00.000Z	391	108807	102289	2833684	0	1	0	-1220	-2	2.14	573.57	394.57	https://www.moh.gov.bh/COVID19
Banteay_Meanchey_Province	Banteay Meanchey Province	2021-02-11	2021-02-11T07:00:00.000Z		57			1			1			0.14		http://www.cdcmoh.gov.kh/
Bashkortostan	Bashkortostan	2021-02-11	2021-02-10T08:00:00.000Z	214	25894	19720		163			0		2.71	140.71	116.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Battambang_Province	Battambang Province	2021-02-11	2021-02-11T07:00:00.000Z		26			0			0			0.0		http://www.cdcmoh.gov.kh/
Belarus	Belarus	2021-02-11	2021-02-10T04:00:00.000Z	1811	261859	250078	4607072						8.0	1206.57	1275.43	http://stopcovid.belta.by/
Belgorod_Oblast	Belgorod Oblast	2021-02-11	2021-02-10T08:00:00.000Z	420	29118	26243		166			0		4.0	141.86	104.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Bryansk_Oblast	Bryansk Oblast	2021-02-11	2021-02-10T08:00:00.000Z	247	30739	29281		158			0		0.86	139.71	131.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Buryatia	Buryatia	2021-02-11	2021-02-10T08:00:00.000Z	685	31766	29324		110			0		1.43	110.29	106.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Cambodia	Cambodia	2021-02-11	2021-02-11T07:00:00.000Z	0	478	457		4	0	1	4	0	0.0	1.57	0.86	http://www.cdcmoh.gov.kh/
Chechnya	Chechnya	2021-02-11	2021-02-10T08:00:00.000Z	109	11066	10256		21			0		0.14	25.0	44.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Chelyabinsk_Oblast	Chelyabinsk Oblast	2021-02-11	2021-02-10T08:00:00.000Z	875	46545	38585		265			0		8.43	231.0	542.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Chukotka_Autonomous_Okrug	Chukotka Autonomous Okrug	2021-02-11	2021-02-10T08:00:00.000Z	4	661	603		2			0		0.0	2.14	2.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Chuvashia	Chuvashia	2021-02-11	2021-02-10T08:00:00.000Z	935	20309	18457		75			0		4.29	70.29	81.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Czech_Republic	Czech Republic	2021-02-11	2021-02-10T06:08:00.000Z	17642	1055415	941014	4829762						116.57	6009.0	5572.43	https://onemocneni-aktualne.mzcr.cz/
Dagestan	Dagestan	2021-02-11	2021-02-10T08:00:00.000Z	1281	28740	26161		72			0		3.14	65.14	108.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Earth	Earth	2021-02-11	2021-02-10T23:40:21.753Z	2292217	104598039								8949.57	307449.14	248506.57	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
East_Kazakhstan_Region	East Kazakhstan Region	2021-02-11		332	20869	19698							0.29	57.0	19.86	https://www.coronavirus2020.kz/
Greenland	Greenland	2021-02-11	2021-02-10T12:00:00.000Z	0	30	30	18489						0.0	0.0	0.0	https://www.sst.dk/
Hungary	Hungary	2021-02-11	2021-02-10T07:11:00.000Z	13347	380013	285022	3298814						73.57	1146.43	1530.57	https://koronavirus.gov.hu/
India	India	2021-02-11	2021-02-10T02:30:00.000Z	155252	10858371	10561608							78.43	9741.14	11593.29	https://www.mohfw.gov.in/
Ingushetia	Ingushetia	2021-02-11	2021-02-10T08:00:00.000Z	165	14305	12523		32			0		0.57	29.0	31.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Irkutsk_Oblast	Irkutsk Oblast	2021-02-11	2021-02-10T08:00:00.000Z	1649	51263	46662		254			0		7.0	221.57	279.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Ivanovo_Oblast	Ivanovo Oblast	2021-02-11	2021-02-10T08:00:00.000Z	821	28391	25677		150			0		5.57	136.71	213.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Jambyl_Region	Jambyl Region	2021-02-11		64	5691	5362							0.14	11.0	22.0	https://www.coronavirus2020.kz/
Jewish_Autonomous_Oblast	Jewish Autonomous Oblast	2021-02-11	2021-02-10T08:00:00.000Z	110	4250	4045		8			0		0.43	6.43	24.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Jordan	Jordan	2021-02-11		4316	326855	314581							0.0	0.0	0.0	https://corona.moh.gov.jo/
Kabardino-Balkaria	Kabardino-Balkaria	2021-02-11	2021-02-10T08:00:00.000Z	349	19623	18302		82			0		1.86	71.86	68.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kaliningrad_Oblast	Kaliningrad Oblast	2021-02-11	2021-02-10T08:00:00.000Z	229	25834	23153		164			0		0.86	146.29	159.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kalmykia	Kalmykia	2021-02-11	2021-02-10T08:00:00.000Z	274	18118	16948		62			0		1.71	58.14	107.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kaluga_Oblast	Kaluga Oblast	2021-02-11	2021-02-10T08:00:00.000Z	235	27484	25222		143			0		1.86	127.71	132.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kamchatka_Krai	Kamchatka Krai	2021-02-11	2021-02-10T08:00:00.000Z	91	12801	11398		48			0		1.0	42.86	43.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kampong_Cham_Province	Kampong Cham Province	2021-02-11	2021-02-11T07:00:00.000Z		16			0			0			0.0		http://www.cdcmoh.gov.kh/
Kampong_Chhnang_Province	Kampong Chhnang Province	2021-02-11	2021-02-11T07:00:00.000Z		3			0			0			0.0		http://www.cdcmoh.gov.kh/
Kampot_Province	Kampot Province	2021-02-11	2021-02-11T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Kandal_Province	Kandal Province	2021-02-11	2021-02-11T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Karachay-Cherkessia	Karachay-Cherkessia	2021-02-11	2021-02-10T08:00:00.000Z	60	18190	16536		59			0		0.43	51.43	62.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Karaganda_Region	Karaganda Region	2021-02-11		307	14455	13311							0.86	51.29	50.86	https://www.coronavirus2020.kz/
Kazakhstan	Kazakhstan	2021-02-11		2540	198086	179277							9.14	921.0	1009.71	https://www.coronavirus2020.kz/
Kemerovo_Oblast	Kemerovo Oblast	2021-02-11	2021-02-10T08:00:00.000Z	540	30317	29009		92			0		1.57	82.86	140.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kep_Province	Kep Province	2021-02-11	2021-02-11T07:00:00.000Z		4			0			0			0.0		http://www.cdcmoh.gov.kh/
Khabarovsk_Krai	Khabarovsk Krai	2021-02-11	2021-02-10T08:00:00.000Z	265	46803	42860		173			0		1.0	174.71	232.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Khakassia	Khakassia	2021-02-11	2021-02-10T08:00:00.000Z	407	20857	19451		28			0		1.86	37.29	37.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Khanty-Mansi_Autonomous_Okrug	Khanty-Mansi Autonomous Okrug	2021-02-11	2021-02-10T08:00:00.000Z	694	49149	46527		93			0		2.43	120.29	160.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kirov_Oblast	Kirov Oblast	2021-02-11	2021-02-10T08:00:00.000Z	276	34019	28805		150			0		0.86	135.43	140.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Koh_Kong_Province	Koh Kong Province	2021-02-11	2021-02-11T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Komi_Republic	Komi Republic	2021-02-11	2021-02-10T08:00:00.000Z	722	37712	36397		128			0		2.57	113.0	107.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kostanay_Region	Kostanay Region	2021-02-11		40	11053	9531							0.29	70.0	70.86	https://www.coronavirus2020.kz/
Kostroma_Oblast	Kostroma Oblast	2021-02-11	2021-02-10T08:00:00.000Z	322	17560	14469		57			0		3.14	47.86	55.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Krasnodar_Krai	Krasnodar Krai	2021-02-11	2021-02-10T08:00:00.000Z	1644	35497	27654		176			0		14.57	155.14	261.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Krasnoyarsk_Krai	Krasnoyarsk Krai	2021-02-11	2021-02-10T08:00:00.000Z	2552	59216	54445		240			0		16.29	225.43	192.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kurgan_Oblast	Kurgan Oblast	2021-02-11	2021-02-10T08:00:00.000Z	226	16165	14257		92			0		0.57	79.29	74.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Kursk_Oblast	Kursk Oblast	2021-02-11	2021-02-10T08:00:00.000Z	403	28001	24731		171			0		2.57	146.71	150.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
