regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Adygea	Adygea	2020-12-26	2020-12-25T08:20:00.000Z	83	10494	8433		90			0		0.86	78.86	77.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Akmola_Region	Akmola Region	2020-12-26		94	6861	5883							0.29	49.57	66.43	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-12-26		40	3657	3504							0.14	6.0	7.71	https://www.coronavirus2020.kz/
Almaty	Almaty	2020-12-26		370	17885	16528							1.57	68.0	58.0	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-12-26		79	6726	5678							0.71	39.43	17.0	https://www.coronavirus2020.kz/
Altai_Krai	Altai Krai	2020-12-26	2020-12-25T08:20:00.000Z	803	31627	29025		217			0		8.43	184.86	177.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2020-12-26	2020-12-25T08:20:00.000Z	89	13429	12746		98			0		2.57	69.71	55.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amur_Oblast	Amur Oblast	2020-12-26	2020-12-25T08:20:00.000Z	105	15045	13449		143			0		0.0	120.57	113.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Arkhangelsk_Oblast	Arkhangelsk Oblast	2020-12-26	2020-12-25T08:20:00.000Z	419	41118	31835		375			0		3.57	333.14	326.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Astrakhan_Oblast	Astrakhan Oblast	2020-12-26	2020-12-25T08:20:00.000Z	358	17946	12185		178			0		3.71	155.14	74.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Atyrau_Region	Atyrau Region	2020-12-26		96	12806	11927							0.57	52.57	40.0	https://www.coronavirus2020.kz/
Bahrain	Bahrain	2020-12-26	2020-12-26T00:00:00.000Z	351	91070	88963	2300729	0	0	0	-253	-1	0.29	169.57	137.14	https://www.moh.gov.bh/COVID19
Banteay_Meanchey_Province	Banteay Meanchey Province	2020-12-26	2020-12-26T07:00:00.000Z		5			0			0			0.0		http://www.cdcmoh.gov.kh/
