regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abruzzo	Abruzzo	2021-03-03		1720	54910	40135	1018678				246		8.29	373.0	316.86	http://www.salute.gov.it/
Adygea	Adygea	2021-03-03	2021-03-02T08:00:00.000Z	151	13803	12249		12			0		1.0	8.57	27.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2021-03-03	2021-03-02T12:00:00.000Z		2125									21.57		https://www.fhi.no/
Akmola_Region	Akmola Region	2021-03-03		104	13733	12611							0.0	61.14	70.0	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2021-03-03		50	4273	4026							0.0	10.43	2.71	https://www.coronavirus2020.kz/
Almaty	Almaty	2021-03-03		452	25175	23270							0.0	87.43	63.86	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2021-03-03		114	10914	9823							0.0	51.86	33.43	https://www.coronavirus2020.kz/
Altai_Krai	Altai Krai	2021-03-03	2021-03-02T08:00:00.000Z	1522	43797	39102		131			0		8.43	115.57	103.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2021-03-03	2021-03-02T08:00:00.000Z	163	16226	15937		5			0		1.57	13.57	30.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amstetten_District	Amstetten District	2021-03-03	2021-03-02T21:00:00.000Z	122	7509	7191							0.0	12.29	11.0	https://info.gesundheitsministerium.at/
Amur_Oblast	Amur Oblast	2021-03-03	2021-03-02T08:00:00.000Z	178	21089	19521		36			0		1.43	36.57	41.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Aosta_Valley	Aosta Valley	2021-03-03		415	8063	7485	78036				6		0.0	9.57	7.14	http://www.salute.gov.it/
Apulia	Apulia	2021-03-03		3992	148702	111599	1571274				1021		22.0	869.43	701.57	http://www.salute.gov.it/
Arkhangelsk_Oblast	Arkhangelsk Oblast	2021-03-03	2021-03-02T08:00:00.000Z	662	56900	51159		119			0		7.0	109.43	133.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Astrakhan_Oblast	Astrakhan Oblast	2021-03-03	2021-03-02T08:00:00.000Z	571	28487	21068		97			0		2.43	91.0	236.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Atyrau_Region	Atyrau Region	2021-03-03		128	17205	16652							0.0	28.57	28.29	https://www.coronavirus2020.kz/
Austria	Austria	2021-03-03	2021-03-02T21:00:00.000Z	8456	459186	421874							17.57	1780.71	1169.86	https://info.gesundheitsministerium.at/
Auvergne-Rhône-Alpes	Auvergne-Rhône-Alpes	2021-03-03		9129		37330							24.29		99.0	https://www.santepubliquefrance.fr/
Baden_District,_Austria	Baden District, Austria	2021-03-03	2021-03-02T21:00:00.000Z	94	6537	5787							0.29	53.43	32.29	https://info.gesundheitsministerium.at/
Bahrain	Bahrain	2021-03-03	2021-03-03T00:00:00.000Z	453	123531	116487	3120729	492	0	592	-153	-1	2.43	618.0	685.14	https://www.moh.gov.bh/COVID19
Banteay_Meanchey_Province	Banteay Meanchey Province	2021-03-03	2021-03-03T07:00:00.000Z		58			0			0			0.0		http://www.cdcmoh.gov.kh/
Bashkortostan	Bashkortostan	2021-03-03	2021-03-02T08:00:00.000Z	280	28856	23047		137			0		2.57	118.86	135.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Basilicata	Basilicata	2021-03-03		375	15857	11298	253755				147		0.86	93.43	36.71	http://www.salute.gov.it/
Battambang_Province	Battambang Province	2021-03-03	2021-03-03T07:00:00.000Z		26			0			0			0.0		http://www.cdcmoh.gov.kh/
Belarus	Belarus	2021-03-03	2021-03-02T04:00:00.000Z	1993	289136	279450	4915522						7.71	1061.29	1102.43	http://stopcovid.belta.by/
Belgorod_Oblast	Belgorod Oblast	2021-03-03	2021-03-02T08:00:00.000Z	490	31635	28912		94			0		1.86	83.57	104.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Bludenz_District	Bludenz District	2021-03-03	2021-03-02T21:00:00.000Z	45	3451	3329							0.0	7.14	7.29	https://info.gesundheitsministerium.at/
Bourgogne-Franche-Comté	Bourgogne-Franche-Comté	2021-03-03		3802		14219							10.14		42.86	https://www.santepubliquefrance.fr/
Braunau_am_Inn_District	Braunau am Inn District	2021-03-03	2021-03-02T21:00:00.000Z	69	6012	5369							0.0	35.0	7.14	https://info.gesundheitsministerium.at/
Brittany_(administrative_region)	Brittany (administrative region)	2021-03-03		1164		4861							6.29		22.71	https://www.santepubliquefrance.fr/
Bruck_an_der_Leitha_District	Bruck an der Leitha District	2021-03-03	2021-03-02T21:00:00.000Z	69	3901	3432							0.43	30.0	19.14	https://info.gesundheitsministerium.at/
Bryansk_Oblast	Bryansk Oblast	2021-03-03	2021-03-02T08:00:00.000Z	257	33092	32203		99			0		0.71	85.57	84.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Burgenland	Burgenland	2021-03-03	2021-03-02T21:00:00.000Z	228	12589	11404							0.14	66.71	42.57	https://info.gesundheitsministerium.at/
Buryatia	Buryatia	2021-03-03	2021-03-02T08:00:00.000Z	717	33839	31587		104			0		1.43	87.86	91.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Calabria	Calabria	2021-03-03		693	38133	31175	587436				102		3.14	147.86	131.0	http://www.salute.gov.it/
Cambodia	Cambodia	2021-03-03	2021-03-03T07:00:00.000Z	0	844	478		0	0	0	-24	0	0.0	30.14	0.29	http://www.cdcmoh.gov.kh/
Campania	Campania	2021-03-03		4334	271561	187942	2965331				2046		16.43	1946.0	864.57	http://www.salute.gov.it/
Canton_of_Basel-Stadt	Canton of Basel-Stadt	2021-03-03	2021-03-02T23:00:00.000Z	192	9907			0	0		-68	0	0.14	19.0		https://www.bag.admin.ch/
Canton_of_Bern	Canton of Bern	2021-03-03	2021-03-02T23:00:00.000Z	999	53548			0	0		37	-6	1.57	62.29		https://www.bag.admin.ch/
Canton_of_Fribourg	Canton of Fribourg	2021-03-03	2021-03-02T23:00:00.000Z	473	27284			0	0		-56	-8	1.29	34.43		https://www.bag.admin.ch/
Canton_of_Geneva	Canton of Geneva	2021-03-03	2021-03-02T23:00:00.000Z	709	47733			0	0		-316	-13	1.86	101.29		https://www.bag.admin.ch/
Canton_of_Glarus	Canton of Glarus	2021-03-03	2021-03-02T23:00:00.000Z	68	2203			0	0		2	1	0.0	2.0		https://www.bag.admin.ch/
Canton_of_Jura	Canton of Jura	2021-03-03	2021-03-02T23:00:00.000Z	136	5676			0	0		-37	-3	0.43	13.14		https://www.bag.admin.ch/
Canton_of_Lucerne	Canton of Lucerne	2021-03-03	2021-03-02T23:00:00.000Z	302	21855			0	0		-80	-3	0.43	33.0		https://www.bag.admin.ch/
Canton_of_Schaffhausen	Canton of Schaffhausen	2021-03-03	2021-03-02T23:00:00.000Z	65	3621			0	0		9	1	-0.14	2.14		https://www.bag.admin.ch/
Canton_of_Schwyz	Canton of Schwyz	2021-03-03	2021-03-02T23:00:00.000Z	211	9616			0	0		-40	3	-0.43	16.43		https://www.bag.admin.ch/
Canton_of_St._Gallen	Canton of St. Gallen	2021-03-03	2021-03-02T23:00:00.000Z	679	34271			0	0		-115	-2	0.57	45.71		https://www.bag.admin.ch/
Canton_of_Uri	Canton of Uri	2021-03-03	2021-03-02T23:00:00.000Z	38	1802			0	0		4	1	-0.14	2.0		https://www.bag.admin.ch/
Canton_of_Zug	Canton of Zug	2021-03-03	2021-03-02T23:00:00.000Z	112	6525			0	0		-19	1	0.0	11.86		https://www.bag.admin.ch/
Canton_of_Zürich	Canton of Zürich	2021-03-03	2021-03-02T23:00:00.000Z	1286	87605			0	0		-114	-11	2.29	107.0		https://www.bag.admin.ch/
Carinthia	Carinthia	2021-03-03	2021-03-02T21:00:00.000Z	701	29404	26465							1.0	123.0	83.0	https://info.gesundheitsministerium.at/
Centre-Val_de_Loire	Centre-Val de Loire	2021-03-03		2013		7807							9.29		35.43	https://www.santepubliquefrance.fr/
Chechnya	Chechnya	2021-03-03	2021-03-02T08:00:00.000Z	111	11320	10796		10			0		0.0	9.57	22.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Chelyabinsk_Oblast	Chelyabinsk Oblast	2021-03-03	2021-03-02T08:00:00.000Z	1014	51220	45074		192			0		5.43	174.57	180.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Chukotka_Autonomous_Okrug	Chukotka Autonomous Okrug	2021-03-03	2021-03-02T08:00:00.000Z	5	695	648		1			0		0.14	1.29	1.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Chuvashia	Chuvashia	2021-03-03	2021-03-02T08:00:00.000Z	1045	21502	19679		50			0		4.57	46.29	40.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Corsica	Corsica	2021-03-03		146		631							0.43		1.86	https://www.santepubliquefrance.fr/
Czech_Republic	Czech Republic	2021-03-03	2021-03-02T06:00:00.000Z	20701	1252242	1082617	5405832						145.57	9698.57	6455.29	https://onemocneni-aktualne.mzcr.cz/
Dagestan	Dagestan	2021-03-03	2021-03-02T08:00:00.000Z	1345	29861	27597		40			0		1.86	35.43	43.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Deutschlandsberg_District	Deutschlandsberg District	2021-03-03	2021-03-02T21:00:00.000Z	89	2743	2516							0.0	12.43	10.43	https://info.gesundheitsministerium.at/
Dornbirn_District	Dornbirn District	2021-03-03	2021-03-02T21:00:00.000Z	65	6085	5902							0.29	8.86	8.0	https://info.gesundheitsministerium.at/
Earth	Earth	2021-03-03	2021-03-03T03:15:29.726Z	2471997	111227431								6069.86	256636.57	197564.71	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
East_Kazakhstan_Region	East Kazakhstan Region	2021-03-03		332	22094	20122							0.0	47.0	21.71	https://www.coronavirus2020.kz/
Eferding_District	Eferding District	2021-03-03	2021-03-02T21:00:00.000Z	29	2261	2164							0.0	0.43	-1.29	https://info.gesundheitsministerium.at/
Eisenstadt	Eisenstadt	2021-03-03	2021-03-02T21:00:00.000Z	9	617	578							0.0	2.57	1.0	https://info.gesundheitsministerium.at/
Emilia-Romagna	Emilia-Romagna	2021-03-03		10610	265214	208757	3904900				2040		26.29	2053.57	730.71	http://www.salute.gov.it/
Feldkirch_District	Feldkirch District	2021-03-03	2021-03-02T21:00:00.000Z	71	6436	6223							0.0	10.14	12.71	https://info.gesundheitsministerium.at/
Feldkirchen_District	Feldkirchen District	2021-03-03	2021-03-02T21:00:00.000Z	42	1723	1580							0.0	6.71	5.86	https://info.gesundheitsministerium.at/
Freistadt_District	Freistadt District	2021-03-03	2021-03-02T21:00:00.000Z	84	4200	3961							0.0	6.0	7.71	https://info.gesundheitsministerium.at/
Friuli_Venezia_Giulia	Friuli Venezia Giulia	2021-03-03		2856	77463	64401	1361337				479		7.71	373.0	238.29	http://www.salute.gov.it/
Gmunden_District	Gmunden District	2021-03-03	2021-03-02T21:00:00.000Z	93	5934	5580							0.0	14.57	14.71	https://info.gesundheitsministerium.at/
Grand_Est	Grand Est	2021-03-03		8112		28287							23.71		82.0	https://www.santepubliquefrance.fr/
Graz	Graz	2021-03-03	2021-03-02T21:00:00.000Z	258	11471	10548							0.71	48.57	48.86	https://info.gesundheitsministerium.at/
Greenland	Greenland	2021-03-03	2021-03-02T12:00:00.000Z	0	30	30	19100						0.0	0.0	0.0	https://www.sst.dk/
Grieskirchen_District	Grieskirchen District	2021-03-03	2021-03-02T21:00:00.000Z	67	4353	4163							0.0	5.29	1.14	https://info.gesundheitsministerium.at/
Hauts-de-France	Hauts-de-France	2021-03-03		6264		24144							26.14		99.0	https://www.santepubliquefrance.fr/
Hermagor_District	Hermagor District	2021-03-03	2021-03-02T21:00:00.000Z	20	1593	1355							0.29	15.0	15.0	https://info.gesundheitsministerium.at/
Hollabrunn_District	Hollabrunn District	2021-03-03	2021-03-02T21:00:00.000Z	41	1779	1519							0.0	15.29	12.43	https://info.gesundheitsministerium.at/
Horn_District	Horn District	2021-03-03	2021-03-02T21:00:00.000Z	12	906	773							0.0	5.71	4.29	https://info.gesundheitsministerium.at/
Hungary	Hungary	2021-03-03	2021-03-02T06:48:00.000Z	15188	435689	324202	3693390						90.86	3651.43	1536.0	https://koronavirus.gov.hu/
Île-de-France	Île-de-France	2021-03-03		14994		66774							43.86		186.0	https://www.santepubliquefrance.fr/
Imst_District	Imst District	2021-03-03	2021-03-02T21:00:00.000Z	33	3527	3357							0.0	11.71	7.0	https://info.gesundheitsministerium.at/
India	India	2021-03-03	2021-03-02T02:30:00.000Z	157248	11124527	10798921							97.29	13478.71	10317.0	https://www.mohfw.gov.in/
Ingushetia	Ingushetia	2021-03-03	2021-03-02T08:00:00.000Z	173	14772	12998		15			0		0.0	14.14	11.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Innlandet	Innlandet	2021-03-03	2021-03-02T12:00:00.000Z		3451									8.0		https://www.fhi.no/
Innsbruck	Innsbruck	2021-03-03	2021-03-02T21:00:00.000Z	88	7063	6860							0.14	7.0	9.14	https://info.gesundheitsministerium.at/
Irkutsk_Oblast	Irkutsk Oblast	2021-03-03	2021-03-02T08:00:00.000Z	1798	56115	52916		224			0		6.43	198.57	248.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Italy	Italy	2021-03-03		98288	2955434	2426150	40639503				17083		231.71	15267.14	9097.86	http://www.salute.gov.it/
Ivanovo_Oblast	Ivanovo Oblast	2021-03-03	2021-03-02T08:00:00.000Z	933	30698	28603		70			0		4.57	70.57	101.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
