regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numActiveCases	numDeaths	numRecoveredCases	numTests	dataSource
5cdd21c97f86686cc505e02fd32a7523	Earth	2020-05-10	2020-05-09T16:38:51.487	274260	3910386							https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
27a140c71bd106a2062db268ff14be14	Los Lagos Region	2020-05-10	2020-05-08T04:00:00+0000	10	548							https://www.minsal.cl/
703805fa9ac9f1cbc1ef92878e724f4d	Magallanes Region	2020-05-10	2020-05-08T04:00:00+0000	11	867							https://www.minsal.cl/
255cbbc9d4e6cd82ca3d3837ad7093fa	Maule Region	2020-05-10	2020-05-08T04:00:00+0000	13	425							https://www.minsal.cl/
23113b12a9d8135100497751756d4bee	New Zealand	2020-05-10	2020-05-09T09:00:00	21	1492	1368	183039					https://www.health.govt.nz/
3af87fefce39538922036929f3f94a67	Northland Region	2020-05-10	2020-05-09T01:00:00+0000		28	27		1		3		https://www.health.govt.nz/
9acfc63159cc3f45ae2c363b662ca205	Santiago Metropolitan Region	2020-05-10	2020-05-08T04:00:00+0000	157	17979							https://www.minsal.cl/
fb699e1804db4f9e5f235802844708ec	Taranaki	2020-05-10	2020-05-09T01:00:00+0000		16	16		0		0		https://www.health.govt.nz/
d8afff57191b68b3b4f4c3d1099fc276	Waikato	2020-05-10	2020-05-09T01:00:00+0000	1	187	170		16	0	3		https://www.health.govt.nz/
faaf89538aebf477c534aa4dbe32dc4f	West Coast, New Zealand	2020-05-10	2020-05-09T01:00:00+0000	1	5	4		0	0	0		https://www.health.govt.nz/
c1a6b42d892795a2406030ea4a3845c5	Whanganui	2020-05-10	2020-05-09T01:00:00+0000		9	9		0		0		https://www.health.govt.nz/
