regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Akmola_Region	Akmola Region	2020-05-28		4	147	106							0.0	1.71	1.43	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-05-28			282	175								7.0	1.57	https://www.coronavirus2020.kz/
Almaty	Almaty	2020-05-28		10	2353	1345							0.0	55.29	33.43	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-05-28			305	180								9.57	4.29	https://www.coronavirus2020.kz/
Andaman_and_Nicobar_Islands	Andaman and Nicobar Islands	2020-05-28	2020-05-27T08:00:00.000Z	0	33	33							0.0	0.0	0.0	https://www.mohfw.gov.in/
Andhra_Pradesh	Andhra Pradesh	2020-05-28	2020-05-27T08:00:00.000Z	57	3171	2009							0.57	81.29	52.71	https://www.mohfw.gov.in/
Arunachal_Pradesh	Arunachal Pradesh	2020-05-28	2020-05-27T08:00:00.000Z	0	2	1							0.0	0.14	0.0	https://www.mohfw.gov.in/
Assam	Assam	2020-05-28	2020-05-27T08:00:00.000Z	4	616	62							0.0	63.71	2.0	https://www.mohfw.gov.in/
Atyrau_Region	Atyrau Region	2020-05-28			944	262								18.29	8.43	https://www.coronavirus2020.kz/
Auckland_Region	Auckland Region	2020-05-28	2020-05-27T01:00:00.000Z		178	175								0.14	0.14	https://www.health.govt.nz/
B%E1%BA%AFc_Giang_Province	Bắc Giang Province	2020-05-28		0	4	4							0.0	0.0	0.0	https://ncov.moh.gov.vn/
B%E1%BA%A1c_Li%C3%AAu_Province	Bạc Liêu Province	2020-05-28		0	21	7							0.0	0.0	0.57	https://ncov.moh.gov.vn/
B%E1%BA%AFc_Ninh_Province	Bắc Ninh Province	2020-05-28		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Banteay_Meanchey_Province	Banteay Meanchey Province	2020-05-28	2020-05-28T07:00:00.000Z		4			0			0			0.0		http://www.cdcmoh.gov.kh/
Battambang_Province	Battambang Province	2020-05-28	2020-05-28T07:00:00.000Z		8			0			0			0.0		http://www.cdcmoh.gov.kh/
Bay_of_Plenty	Bay of Plenty	2020-05-28	2020-05-27T01:00:00.000Z		47	47								0.0	0.0	https://www.health.govt.nz/
B%E1%BA%BFn_Tre_Province	Bến Tre Province	2020-05-28		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Bihar	Bihar	2020-05-28	2020-05-27T08:00:00.000Z	13	2983	900							0.43	187.0	47.0	https://www.mohfw.gov.in/
