regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Akmola_Region	Akmola Region	2020-06-16		6	195	158							0.29	2.57	2.43	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-06-16		1	528	272								18.14	4.0	https://www.coronavirus2020.kz/
Almaty	Almaty	2020-06-16		12	3113	2075							0.29	29.86	20.86	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-06-16			515	357								9.86	10.0	https://www.coronavirus2020.kz/
Andaman_and_Nicobar_Islands	Andaman and Nicobar Islands	2020-06-16	2020-06-15T08:00:00.000Z	0	38	33							0.0	0.71	0.0	https://www.mohfw.gov.in/
Andhra_Pradesh	Andhra Pradesh	2020-06-16	2020-06-15T08:00:00.000Z	84	6163	3314							1.29	187.43	81.29	https://www.mohfw.gov.in/
Arunachal_Pradesh	Arunachal Pradesh	2020-06-16	2020-06-15T08:00:00.000Z	0	91	7							0.0	5.71	0.86	https://www.mohfw.gov.in/
Assam	Assam	2020-06-16	2020-06-15T08:00:00.000Z	8	4049	1960							0.57	181.86	185.0	https://www.mohfw.gov.in/
Atyrau_Region	Atyrau Region	2020-06-16		3	1310	985							0.0	12.57	21.57	https://www.coronavirus2020.kz/
Auckland_Region	Auckland Region	2020-06-16	2020-06-15T01:00:00.000Z		178	178								0.0	0.0	https://www.health.govt.nz/
B%E1%BA%AFc_Giang_Province	Bắc Giang Province	2020-06-16		0	4	4							0.0	0.0	0.0	https://ncov.moh.gov.vn/
B%E1%BA%A1c_Li%C3%AAu_Province	Bạc Liêu Province	2020-06-16		0	21	21							0.0	0.0	0.0	https://ncov.moh.gov.vn/
B%E1%BA%AFc_Ninh_Province	Bắc Ninh Province	2020-06-16		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Banteay_Meanchey_Province	Banteay Meanchey Province	2020-06-16	2020-06-16T07:00:00.000Z		5			0			0			0.0		http://www.cdcmoh.gov.kh/
Battambang_Province	Battambang Province	2020-06-16	2020-06-16T07:00:00.000Z		8			0			0			0.0		http://www.cdcmoh.gov.kh/
Bay_of_Plenty	Bay of Plenty	2020-06-16	2020-06-15T01:00:00.000Z		47	47								0.0	0.0	https://www.health.govt.nz/
B%E1%BA%BFn_Tre_Province	Bến Tre Province	2020-06-16		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Bihar	Bihar	2020-06-16	2020-06-15T08:00:00.000Z	39	6470	4170							1.14	181.14	238.71	https://www.mohfw.gov.in/
B%C3%ACnh_Thu%E1%BA%ADn_Province	Bình Thuận Province	2020-06-16		0	9	9							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Cambodia	Cambodia	2020-06-16	2020-06-16T07:00:00.000Z	0	128	125		0	0	0	0	0	0.0	0.29	0.14	http://www.cdcmoh.gov.kh/
C%E1%BA%A7n_Th%C6%A1	Cần Thơ	2020-06-16		0	2	2							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Chandigarh	Chandigarh	2020-06-16	2020-06-15T08:00:00.000Z	5	352	293							0.0	5.0	2.86	https://www.mohfw.gov.in/
Chhattisgarh	Chhattisgarh	2020-06-16	2020-06-15T08:00:00.000Z	8	1662	763							0.57	71.71	65.0	https://www.mohfw.gov.in/
Da_Nang	Da Nang	2020-06-16		0	6	6							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Delhi	Delhi	2020-06-16	2020-06-15T08:00:00.000Z	1327	41182	15823							64.71	1605.57	638.0	https://www.mohfw.gov.in/
%C4%90%E1%BB%93ng_Nai_Province	Đồng Nai Province	2020-06-16		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
%C4%90%E1%BB%93ng_Th%C3%A1p_Province	Đồng Tháp Province	2020-06-16		0	6	5							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Earth	Earth	2020-06-16	2020-06-15T22:04:47.924Z	433472	7905811								3381.57	107296.57	66242.14	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
East_Kazakhstan_Region	East Kazakhstan Region	2020-06-16		1	262	113							0.0	9.0	4.29	https://www.coronavirus2020.kz/
Goa	Goa	2020-06-16	2020-06-15T08:00:00.000Z	0	564	74							0.0	33.43	1.0	https://www.mohfw.gov.in/
Gujarat	Gujarat	2020-06-16	2020-06-15T08:00:00.000Z	1477	23544	16325							28.14	428.43	338.43	https://www.mohfw.gov.in/
H%C3%A0_Giang_Province	Hà Giang Province	2020-06-16		0	1	1							0.0	0.0	0.0	https://ncov.moh.gov.vn/
