regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Auckland_Region	Auckland Region	2020-07-07	2020-07-06T01:00:00.000Z		178	178								0.0	0.0	https://www.health.govt.nz/
Bay_of_Plenty	Bay of Plenty	2020-07-07	2020-07-06T01:00:00.000Z		47	47								0.0	0.0	https://www.health.govt.nz/
Earth	Earth	2020-07-07	2020-07-06T18:08:08.320Z	531709	11428807								3465.0	148542.71	129877.14	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
Hawke%27s_Bay_Region	Hawke's Bay Region	2020-07-07	2020-07-06T01:00:00.000Z		44	44								0.0	0.0	https://www.health.govt.nz/
Malaysia	Malaysia	2020-07-07	2020-07-06T09:00:00.000Z	121	8668	8476							0.0	4.14	17.43	http://www.moh.gov.my/
Mistelbach_District	Mistelbach District	2020-07-07	2020-07-06T20:00:00.000Z		147									0.14		https://info.gesundheitsministerium.at/
Mizoram	Mizoram	2020-07-07	2020-07-06T08:00:00.000Z	0	186	130							0.0	5.43	10.71	https://www.mohfw.gov.in/
Mordovia	Mordovia	2020-07-07	2020-07-06T07:30:00.000Z	27	3611	2437		34			0		0.14	31.0	33.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Moscow	Moscow	2020-07-07	2020-07-06T07:30:00.000Z	3975	225545	157652		685			0		25.57	563.86	1036.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Moscow_Oblast	Moscow Oblast	2020-07-07	2020-07-06T07:30:00.000Z	947	59345	38754		292			0		8.57	253.57	502.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Murau_District	Murau District	2020-07-07	2020-07-06T20:00:00.000Z		7									0.0		https://info.gesundheitsministerium.at/
Murmansk_Oblast	Murmansk Oblast	2020-07-07	2020-07-06T07:30:00.000Z	21	6038	3704		135			0		0.86	118.14	25.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Murtal_District	Murtal District	2020-07-07	2020-07-06T20:00:00.000Z		32									0.0		https://info.gesundheitsministerium.at/
Nagaland	Nagaland	2020-07-07	2020-07-06T08:00:00.000Z	0	590	231							0.0	22.29	9.0	https://www.mohfw.gov.in/
Nenets_Autonomous_Okrug	Nenets Autonomous Okrug	2020-07-07	2020-07-06T07:30:00.000Z	0	158	40		6			0		0.0	7.71	0.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Neunkirchen_District,_Austria	Neunkirchen District, Austria	2020-07-07	2020-07-06T20:00:00.000Z		223									0.43		https://info.gesundheitsministerium.at/
Neusiedl_am_See_District	Neusiedl am See District	2020-07-07	2020-07-06T20:00:00.000Z		58									0.0		https://info.gesundheitsministerium.at/
New_Zealand	New Zealand	2020-07-07	2020-07-06T01:00:00.000Z	22	1534	1490	415283						0.0	0.86	0.86	https://www.health.govt.nz/
Ninh_B%C3%ACnh_Province	Ninh Bình Province	2020-07-07		0	13	13							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Ninh_Thu%E1%BA%ADn_Province	Ninh Thuận Province	2020-07-07		0	2	2							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Nizhny_Novgorod_Oblast	Nizhny Novgorod Oblast	2020-07-07	2020-07-06T07:30:00.000Z	268	18826	12309		212			0		4.86	192.14	178.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Nordland	Nordland	2020-07-07	2020-07-06T11:00:00.000Z		128									0.29		https://www.fhi.no/
North_Kazakhstan_Region	North Kazakhstan Region	2020-07-07		6	1399	452							0.57	142.71	56.14	https://www.coronavirus2020.kz/
Northland_Region	Northland Region	2020-07-07	2020-07-06T01:00:00.000Z		28	28								0.0	0.0	https://www.health.govt.nz/
Norway	Norway	2020-07-07	2020-07-06T11:00:00.000Z	251	8930		355656						0.14	9.29		https://www.fhi.no/
Novgorod_Oblast	Novgorod Oblast	2020-07-07	2020-07-06T07:30:00.000Z	28	3142	974		37			0		0.43	36.86	25.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Novosibirsk_Oblast	Novosibirsk Oblast	2020-07-07	2020-07-06T07:30:00.000Z	116	6611	4145		106			0		2.86	89.43	92.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Nur-Sultan	Nur-Sultan	2020-07-07		63	5889	3248							0.29	292.0	75.29	https://www.coronavirus2020.kz/
Oberpullendorf_District	Oberpullendorf District	2020-07-07	2020-07-06T20:00:00.000Z		26									0.0		https://info.gesundheitsministerium.at/
Oberwart_District	Oberwart District	2020-07-07	2020-07-06T20:00:00.000Z		141									0.71		https://info.gesundheitsministerium.at/
Odisha	Odisha	2020-07-07	2020-07-06T08:00:00.000Z	36	9070	6224							1.86	315.86	182.57	https://www.mohfw.gov.in/
Omsk_Oblast	Omsk Oblast	2020-07-07	2020-07-06T07:30:00.000Z	35	4120	2209		84			0		0.71	72.14	29.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Orenburg_Oblast	Orenburg Oblast	2020-07-07	2020-07-06T07:30:00.000Z	22	4253	3102		83			0		0.43	68.0	61.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Oryol_Oblast	Oryol Oblast	2020-07-07	2020-07-06T07:30:00.000Z	73	4741	3166		57			0		1.71	32.57	49.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Oslo	Oslo	2020-07-07	2020-07-06T11:00:00.000Z		2884									2.86		https://www.fhi.no/
Pavlodar_Region	Pavlodar Region	2020-07-07		14	1408	500							0.14	95.43	18.57	https://www.coronavirus2020.kz/
Penza_Oblast	Penza Oblast	2020-07-07	2020-07-06T07:30:00.000Z	50	5418	4928		71			0		1.29	64.0	38.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Perg_District	Perg District	2020-07-07	2020-07-06T20:00:00.000Z		299									4.14		https://info.gesundheitsministerium.at/
Perm_Krai	Perm Krai	2020-07-07	2020-07-06T07:30:00.000Z	85	4017	2945		53			0		1.0	46.57	34.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Philippines	Philippines	2020-07-07	2020-07-06T00:00:00.000Z	1303	46333	12185	738502						6.86	1413.57	318.43	http://www.doh.gov.ph/2019-nCoV
Phnom_Penh	Phnom Penh	2020-07-07	2020-07-07T07:00:00.000Z		46			0			0			0.0		http://www.cdcmoh.gov.kh/
Preah_Vihear_Province	Preah Vihear Province	2020-07-07	2020-07-07T07:00:00.000Z		2			0			0			0.0		http://www.cdcmoh.gov.kh/
Primorsky_Krai	Primorsky Krai	2020-07-07	2020-07-06T07:30:00.000Z	52	4732	3077		65			0		1.14	60.86	47.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Pskov_Oblast	Pskov Oblast	2020-07-07	2020-07-06T07:30:00.000Z	28	3044	1400		26			0		0.86	41.0	59.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Puducherry	Puducherry	2020-07-07	2020-07-06T08:00:00.000Z	12	802	331							0.29	26.14	15.71	https://www.mohfw.gov.in/
Punjab,_India	Punjab, India	2020-07-07	2020-07-06T08:00:00.000Z	164	6283	4408							3.71	123.57	92.0	https://www.mohfw.gov.in/
Qatar	Qatar	2020-07-07		133	100345	93898	386111	546			0		2.86	608.14	1762.0	https://www.moph.gov.qa/
Qu%E1%BA%A3ng_Nam_Province	Quảng Nam Province	2020-07-07		0	5	3							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Qu%E1%BA%A3ng_Ninh_Province	Quảng Ninh Province	2020-07-07		0	9	9							0.0	0.0	0.0	https://ncov.moh.gov.vn/
Rajasthan	Rajasthan	2020-07-07	2020-07-06T08:00:00.000Z	456	20164	15928							7.29	357.71	330.0	https://www.mohfw.gov.in/
Republic_of_Karelia	Republic of Karelia	2020-07-07	2020-07-06T07:30:00.000Z	3	1514	680		15			0		0.0	31.43	23.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Reutte_District	Reutte District	2020-07-07	2020-07-06T20:00:00.000Z		57									0.0		https://info.gesundheitsministerium.at/
Rogaland	Rogaland	2020-07-07	2020-07-06T11:00:00.000Z		444									-0.14		https://www.fhi.no/
Rohrbach_District	Rohrbach District	2020-07-07	2020-07-06T20:00:00.000Z		155									0.14		https://info.gesundheitsministerium.at/
Rostov_Oblast	Rostov Oblast	2020-07-07	2020-07-06T07:30:00.000Z	141	10166	6869		91			0		2.29	79.29	160.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Russia	Russia	2020-07-07	2020-07-06T07:30:00.000Z	10296	687862	454329	21300000	6611	135	3579	0	0	139.43	5716.14	5954.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Ryazan_Oblast	Ryazan Oblast	2020-07-07	2020-07-06T07:30:00.000Z	21	5433	3923		39			0		0.29	33.71	59.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Saint_Petersburg	Saint Petersburg	2020-07-07	2020-07-06T07:30:00.000Z	1389	25816	20174		280			0		36.14	229.86	409.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Sakhalin_Oblast	Sakhalin Oblast	2020-07-07	2020-07-06T07:30:00.000Z	0	993	364		40			0		0.0	27.57	4.57	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
