regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abrantes	Abrantes	2020-07-26	2020-07-25T23:00:00.000Z		29			0			0			0.0		https://covid19.min-saude.pt/
Abruzzo	Abruzzo	2020-07-26		470	3359	2777	123996				3		0.29	3.29	3.71	http://www.salute.gov.it/
Acre_(state)	Acre (state)	2020-07-26	2020-07-25T22:00:00.000Z	483	18657								3.29	194.57		https://covid.saude.gov.br/
Adygea	Adygea	2020-07-26	2020-07-25T07:30:00.000Z	18	2530	2008		34			0		0.29	23.71	15.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2020-07-26	2020-07-25T11:00:00.000Z		352									0.14		https://www.fhi.no/
Akmola_Region	Akmola Region	2020-07-26		31	2261	1513							1.0	44.57	21.43	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-07-26		18	2910	1431							1.29	26.71	37.14	https://www.coronavirus2020.kz/
Alagoas	Alagoas	2020-07-26	2020-07-25T22:00:00.000Z	1486	54730								12.71	664.57		https://covid.saude.gov.br/
Albergaria-a-Velha	Albergaria-a-Velha	2020-07-26	2020-07-25T23:00:00.000Z		91			0			0			0.0		https://covid19.min-saude.pt/
Albufeira	Albufeira	2020-07-26	2020-07-25T23:00:00.000Z		135			0			0			1.14		https://covid19.min-saude.pt/
Alcanena	Alcanena	2020-07-26	2020-07-25T23:00:00.000Z		18			0			0			0.14		https://covid19.min-saude.pt/
Alcochete	Alcochete	2020-07-26	2020-07-25T23:00:00.000Z		33			0			0			0.14		https://covid19.min-saude.pt/
Alenquer,_Portugal	Alenquer, Portugal	2020-07-26	2020-07-25T23:00:00.000Z		215			0			0			3.0		https://covid19.min-saude.pt/
Almada	Almada	2020-07-26	2020-07-25T23:00:00.000Z		774			0			0			8.57		https://covid19.min-saude.pt/
Almaty	Almaty	2020-07-26		73	10318	6341							2.71	199.43	150.43	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-07-26		4	3933	2881							0.0	50.14	64.57	https://www.coronavirus2020.kz/
Almeida,_Portugal	Almeida, Portugal	2020-07-26	2020-07-25T23:00:00.000Z		7			0			0			0.14		https://covid19.min-saude.pt/
