a67d4cbdd1b59e0ffccc6bafc83eb033	Netherlands	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
23113b12a9d8135100497751756d4bee	New Zealand	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
5d839147c83e283c1d1bb705dc50586f	Nigeria	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
28f9f2e9021c7754f9968e027d577267	Republic of Macedonia	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
d5b9290a0b67727d4ba1ca6059dc31a6	Norway	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
1c77b9733832da9d1ffac66620f3c006	Oman	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
b9698b8546220246fe600a949db326bf	Pakistan	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
77dab2f81a6c8c9136efba7ab2c4c0f2	Philippines	2020-02-18		1	3							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
7cc7ef17c45527cf90fcf27516794d21	Qatar	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
10e71bd23d3dea9ac62d72d53e2ab9f0	Republic of Ireland	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
28f9f2e9021c7754f9968e027d577267	Republic of Macedonia	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
0c7d5ae44b2a0be9ebd7d6b9f7d60f20	Romania	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
5feb168ca8fb495dcc89b1208cdeb919	Russia	2020-02-18			2							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
54a0d1f73c3bf9eb699b7f36d90260fd	San Marino	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
458e4cbc78201c1aec5fc53a31c59378	Singapore	2020-02-18		0	81							https://dashboards-dev.sprinklr.com/data/9043/global-covid19-who-gis.json
aa292756f481473cfd6a988c22d480b1	South Korea	2020-02-18			31			1				https://opendata.ecdc.europa.eu/covid19/casedistribution/json
907eba32d950bfab68227fd7ea22999b	Spain	2020-02-18			2							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
999309971ba0008ba9f444f6df579961	Sri Lanka	2020-02-18			1							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
c8f4261f9f46e6465709e17ebea7a92b	Sweden	2020-02-18			1							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
3ad08396dc5afa78f34f548eea3c1d64	Switzerland	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
551fe18ef47d4e6e9d943b9a68ada21d	Taiwan	2020-02-18		1	22			2				https://opendata.ecdc.europa.eu/covid19/casedistribution/json
103357e3e40a9c0e4e9d36110f7bbc7a	Thailand	2020-02-18			35			1				https://opendata.ecdc.europa.eu/covid19/casedistribution/json
edab6ab6fad43f4911b41103922c3e9e	United Arab Emirates	2020-02-18			9							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
5ad75a758f27c089b52a1eac8dca7e0d	United Kingdom	2020-02-18			9							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
09d4bca31e2fd8b0f57f79f85ed42bd8	United States	2020-02-18			15							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
fdef6daa799e80dbce1b561577b21181	Vietnam	2020-02-18			16							https://opendata.ecdc.europa.eu/covid19/casedistribution/json
b45ff92cc522bb89bfc3b8ef3fc21b7d	Lebanon	2020-02-18										https://opendata.ecdc.europa.eu/covid19/casedistribution/json
