regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abruzzo	Abruzzo	2021-02-23		1628	51442	36841	933593				351		6.57	378.71	276.57	http://www.salute.gov.it/
Acre_(state)	Acre (state)	2021-02-23	2021-02-22T22:00:00.000Z	968	54969								5.14	197.0		https://covid.saude.gov.br/
Adygea	Adygea	2021-02-23	2021-02-22T08:00:00.000Z	144	13709	12004		15			0		1.0	17.14	26.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2021-02-23	2021-02-22T12:00:00.000Z		1901									24.14		https://www.fhi.no/
Akmola_Region	Akmola Region	2021-02-23		104	13242	12024							0.0	76.14	121.0	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2021-02-23		50	4191	3992							0.0	12.71	10.43	https://www.coronavirus2020.kz/
Alagoas	Alagoas	2021-02-23	2021-02-22T22:00:00.000Z	2940	128501								8.14	403.57		https://covid.saude.gov.br/
Almaty	Almaty	2021-02-23		452	24470	22658							0.0	103.57	83.0	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2021-02-23		114	10512	9566							0.0	47.43	110.71	https://www.coronavirus2020.kz/
Altai_Krai	Altai Krai	2021-02-23	2021-02-22T08:00:00.000Z	1444	42700	38149		145			0		8.57	130.0	111.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2021-02-23	2021-02-22T08:00:00.000Z	146	16104	15692		14			0		0.43	23.57	40.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amazonas_(Brazilian_state)	Amazonas (Brazilian state)	2021-02-23	2021-02-22T22:00:00.000Z	10522	307164								60.29	1353.86		https://covid.saude.gov.br/
Amstetten_District	Amstetten District	2021-02-23	2021-02-22T21:00:00.000Z	122	7412	7091							0.14	12.71	16.29	https://info.gesundheitsministerium.at/
Amur_Oblast	Amur Oblast	2021-02-23	2021-02-22T08:00:00.000Z	165	20737	19145		45			0		1.71	37.86	39.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Aosta_Valley	Aosta Valley	2021-02-23		414	7978	7418	75772				14		0.14	8.0	5.0	http://www.salute.gov.it/
Apulia	Apulia	2021-02-23		3782	140802	104325	1499147				343		18.14	658.14	1567.57	http://www.salute.gov.it/
Arkhangelsk_Oblast	Arkhangelsk Oblast	2021-02-23	2021-02-22T08:00:00.000Z	613	55820	49917		170			0		6.57	149.29	162.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Astrakhan_Oblast	Astrakhan Oblast	2021-02-23	2021-02-22T08:00:00.000Z	548	27632	18892		114			0		3.0	108.0	228.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Atyrau_Region	Atyrau Region	2021-02-23		128	16967	16437							0.0	33.0	45.71	https://www.coronavirus2020.kz/
Austria	Austria	2021-02-23	2021-02-22T21:00:00.000Z	8289	442863	411163	13327784						17.86	1484.86	1113.29	https://info.gesundheitsministerium.at/
Auvergne-Rhône-Alpes	Auvergne-Rhône-Alpes	2021-02-23		8870		36264							31.14		119.57	https://www.santepubliquefrance.fr/
Baden_District,_Austria	Baden District, Austria	2021-02-23	2021-02-22T21:00:00.000Z	91	6059	5503							0.43	39.0	26.43	https://info.gesundheitsministerium.at/
Bahia	Bahia	2021-02-23	2021-02-22T22:00:00.000Z	11254	655481								55.71	2855.29		https://covid.saude.gov.br/
Bahrain	Bahrain	2021-02-23	2021-02-23T00:00:00.000Z	429	118530	110827	3008379	721	0	820	146	-6	2.71	705.71	720.43	https://www.moh.gov.bh/COVID19
Banteay_Meanchey_Province	Banteay Meanchey Province	2021-02-23	2021-02-23T07:00:00.000Z		58			0			0			0.14		http://www.cdcmoh.gov.kh/
Bashkortostan	Bashkortostan	2021-02-23	2021-02-22T08:00:00.000Z	256	27739	21959		146			0		3.14	128.29	136.14	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Basilicata	Basilicata	2021-02-23		368	14886	10929	238294				41		2.0	75.14	54.71	http://www.salute.gov.it/
Battambang_Province	Battambang Province	2021-02-23	2021-02-23T07:00:00.000Z		26			0			0			0.0		http://www.cdcmoh.gov.kh/
Belarus	Belarus	2021-02-23	2021-02-22T04:00:00.000Z	1921	279456	269428	4799410						7.71	1219.29	1338.71	http://stopcovid.belta.by/
Belgorod_Oblast	Belgorod Oblast	2021-02-23	2021-02-22T08:00:00.000Z	473	30839	28118		115			0		2.71	111.57	153.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Bludenz_District	Bludenz District	2021-02-23	2021-02-22T21:00:00.000Z	44	3389	3268							0.0	6.86	7.71	https://info.gesundheitsministerium.at/
Bourgogne-Franche-Comté	Bourgogne-Franche-Comté	2021-02-23		3708		13732							12.29		50.29	https://www.santepubliquefrance.fr/
Braunau_am_Inn_District	Braunau am Inn District	2021-02-23	2021-02-22T21:00:00.000Z	69	5710	5279							0.29	26.0	26.0	https://info.gesundheitsministerium.at/
Brazil	Brazil	2021-02-23	2021-02-22T22:00:00.000Z	247143	10195160	9139215			639			0	886.14	39025.57	36574.86	https://covid.saude.gov.br/
Brittany_(administrative_region)	Brittany (administrative region)	2021-02-23		1101		4599							7.14		21.29	https://www.santepubliquefrance.fr/
Bruck_an_der_Leitha_District	Bruck an der Leitha District	2021-02-23	2021-02-22T21:00:00.000Z	66	3643	3290							0.14	21.71	11.86	https://info.gesundheitsministerium.at/
Bryansk_Oblast	Bryansk Oblast	2021-02-23	2021-02-22T08:00:00.000Z	250	32285	31375		108			0		0.14	100.43	136.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Burgenland	Burgenland	2021-02-23	2021-02-22T21:00:00.000Z	226	11936	11002							0.71	53.14	32.57	https://info.gesundheitsministerium.at/
Buryatia	Buryatia	2021-02-23	2021-02-22T08:00:00.000Z	703	33020	30825		105			0		1.43	88.86	124.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Calabria	Calabria	2021-02-23		667	36704	29695	569685				118		2.43	145.57	188.57	http://www.salute.gov.it/
Cambodia	Cambodia	2021-02-23	2021-02-23T07:00:00.000Z	0	593	475		25	0	0	-10	0	0.0	16.29	0.86	http://www.cdcmoh.gov.kh/
Campania	Campania	2021-02-23		4141	254318	178925	2805856				1202		14.57	1328.71	989.57	http://www.salute.gov.it/
Canton_of_Basel-Stadt	Canton of Basel-Stadt	2021-02-23	2021-02-22T23:00:00.000Z	190	9741			0	0		-38	0	0.14	11.29		https://www.bag.admin.ch/
Canton_of_Bern	Canton of Bern	2021-02-23	2021-02-22T23:00:00.000Z	985	52913			0	0		-204	-1	1.57	73.43		https://www.bag.admin.ch/
Canton_of_Fribourg	Canton of Fribourg	2021-02-23	2021-02-22T23:00:00.000Z	463	26915			0	0		-149	0	0.14	39.29		https://www.bag.admin.ch/
Canton_of_Geneva	Canton of Geneva	2021-02-23	2021-02-22T23:00:00.000Z	696	46768			0	0		-304	0	0.0	75.29		https://www.bag.admin.ch/
Canton_of_Glarus	Canton of Glarus	2021-02-23	2021-02-22T23:00:00.000Z	67	2177			0	0		-7	0	0.14	2.14		https://www.bag.admin.ch/
Canton_of_Jura	Canton of Jura	2021-02-23	2021-02-22T23:00:00.000Z	132	5567			0	0		-37	0	0.0	10.71		https://www.bag.admin.ch/
Canton_of_Lucerne	Canton of Lucerne	2021-02-23	2021-02-22T23:00:00.000Z	299	21534			0	0		-87	-1	0.57	26.14		https://www.bag.admin.ch/
Canton_of_Schaffhausen	Canton of Schaffhausen	2021-02-23	2021-02-22T23:00:00.000Z	66	3591			0	0		-13	0	0.14	5.43		https://www.bag.admin.ch/
Canton_of_Schwyz	Canton of Schwyz	2021-02-23	2021-02-22T23:00:00.000Z	214	9481			0	0		-44	0	0.14	13.57		https://www.bag.admin.ch/
