regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abruzzo	Abruzzo	2021-02-17		1582	48791	34905	862998				493		7.0	377.71	156.86	http://www.salute.gov.it/
Acre_(state)	Acre (state)	2021-02-17	2021-02-16T22:00:00.000Z	932	53590								4.29	273.0		https://covid.saude.gov.br/
Adygea	Adygea	2021-02-17	2021-02-16T08:00:00.000Z	137	13589	11820		27			0		1.0	24.71	32.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2021-02-17	2021-02-16T12:00:00.000Z		1732									12.0		https://www.fhi.no/
Akmola_Region	Akmola Region	2021-02-17		104	12788	11177							0.0	75.0	179.0	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2021-02-17		50	4112	3919							0.0	11.0	6.86	https://www.coronavirus2020.kz/
Alagoas	Alagoas	2021-02-17	2021-02-16T22:00:00.000Z	2883	125676								7.43	521.57		https://covid.saude.gov.br/
Almaty	Almaty	2021-02-17		452	23836	22077							0.0	104.14	94.0	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2021-02-17		114	10216	8791							0.0	55.14	81.71	https://www.coronavirus2020.kz/
Altai_Krai	Altai Krai	2021-02-17	2021-02-16T08:00:00.000Z	1384	41790	37370		162			0		10.71	143.43	123.29	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Altai_Republic	Altai Republic	2021-02-17	2021-02-16T08:00:00.000Z	143	15939	15410		4			0		0.86	26.0	89.43	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Amazonas_(Brazilian_state)	Amazonas (Brazilian state)	2021-02-17	2021-02-16T22:00:00.000Z	10100	297687								92.57	1406.14		https://covid.saude.gov.br/
Amstetten_District	Amstetten District	2021-02-17	2021-02-16T21:00:00.000Z	121	7323	6977							0.0	12.43	14.71	https://info.gesundheitsministerium.at/
Amur_Oblast	Amur Oblast	2021-02-17	2021-02-16T08:00:00.000Z	153	20472	18870		34			0		1.0	32.71	37.0	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Aosta_Valley	Aosta Valley	2021-02-17		413	7922	7383	74226				4		0.29	6.43	9.14	http://www.salute.gov.it/
Apulia	Apulia	2021-02-17		3655	136195	93352	1448475				694		23.86	712.0	1819.29	http://www.salute.gov.it/
Arkhangelsk_Oblast	Arkhangelsk Oblast	2021-02-17	2021-02-16T08:00:00.000Z	567	54775	48783		189			0		6.14	170.57	233.71	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Astrakhan_Oblast	Astrakhan Oblast	2021-02-17	2021-02-16T08:00:00.000Z	527	26876	17295		131			0		2.71	120.71	152.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Atyrau_Region	Atyrau Region	2021-02-17		128	16774	16117							0.0	33.29	64.86	https://www.coronavirus2020.kz/
Austria	Austria	2021-02-17	2021-02-16T21:00:00.000Z	8164	432469	403370	11920050						21.57	1209.14	1126.43	https://info.gesundheitsministerium.at/
