regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Earth	Earth	2020-12-27	2020-12-26T17:43:14.631Z	1731255	79116192								7988.43	427893.57	272335.71	https://github.com/yahoo/covid-19-data/blob/master/data-sources.md
Malaysia	Malaysia	2020-12-27	2020-12-26T04:00:00.000Z	451	103900	83414							2.0	1513.0	872.14	http://www.moh.gov.my/
New_Zealand	New Zealand	2020-12-27	2020-12-23T01:00:00.000Z	25	2128	2054	1381545						0.0	1.71	2.57	https://www.health.govt.nz/
Singapore	Singapore	2020-12-27	2020-12-26T04:00:00.000Z	29	58519	58362	5236487						0.0	13.86	11.86	https://www.moh.gov.sg/covid-19
