regionId	label	referenceDate	lastUpdatedDate	totalDeaths	totalConfirmedCases	totalRecoveredCases	totalTestedCases	numPositiveTests	numDeaths	numRecoveredCases	diffNumPositiveTests	diffNumDeaths	avgWeeklyDeaths	avgWeeklyConfirmedCases	avgWeeklyRecoveredCases	dataSource
Abrantes	Abrantes	2020-07-23	2020-07-22T23:00:00.000Z		29			0			0			0.0		https://covid19.min-saude.pt/
Abruzzo	Abruzzo	2020-07-23		470	3342	2763	120967				0		0.29	1.29	2.57	http://www.salute.gov.it/
Acre_(state)	Acre (state)	2020-07-23	2020-07-22T22:00:00.000Z	470	17979								3.29	159.14		https://covid.saude.gov.br/
Adygea	Adygea	2020-07-23	2020-07-22T07:30:00.000Z	17	2436	1944		25			0		0.14	18.29	10.86	https://xn--80aesfpebagmfblc0a.xn--p1ai/#
Agder	Agder	2020-07-23	2020-07-22T11:00:00.000Z		351									0.0		https://www.fhi.no/
Akmola_Region	Akmola Region	2020-07-23		31	2108	1424							1.0	42.29	30.43	https://www.coronavirus2020.kz/
Aktobe_Region	Aktobe Region	2020-07-23		18	2803	1233							1.29	29.29	15.0	https://www.coronavirus2020.kz/
Alagoas	Alagoas	2020-07-23	2020-07-22T22:00:00.000Z	1443	51680								13.57	420.86		https://covid.saude.gov.br/
Albergaria-a-Velha	Albergaria-a-Velha	2020-07-23	2020-07-22T23:00:00.000Z		91			0			0			0.0		https://covid19.min-saude.pt/
Albufeira	Albufeira	2020-07-23	2020-07-22T23:00:00.000Z		135			0			0			1.14		https://covid19.min-saude.pt/
Alcanena	Alcanena	2020-07-23	2020-07-22T23:00:00.000Z		18			0			0			0.14		https://covid19.min-saude.pt/
Alcochete	Alcochete	2020-07-23	2020-07-22T23:00:00.000Z		33			0			0			0.14		https://covid19.min-saude.pt/
Alenquer,_Portugal	Alenquer, Portugal	2020-07-23	2020-07-22T23:00:00.000Z		215			0			0			3.0		https://covid19.min-saude.pt/
Almada	Almada	2020-07-23	2020-07-22T23:00:00.000Z		774			0			0			8.57		https://covid19.min-saude.pt/
Almaty	Almaty	2020-07-23		73	9635	5796							2.71	196.57	121.57	https://www.coronavirus2020.kz/
Almaty_Region	Almaty Region	2020-07-23		4	3733	2733							0.0	50.57	72.29	https://www.coronavirus2020.kz/
Almeida,_Portugal	Almeida, Portugal	2020-07-23	2020-07-22T23:00:00.000Z		7			0			0			0.14		https://covid19.min-saude.pt/
Almeirim	Almeirim	2020-07-23	2020-07-22T23:00:00.000Z		35			0			0			0.0		https://covid19.min-saude.pt/
