6ff08aafdfc96b2b4b2527c7647c0490	CountyAdminArea	5aeb407b7ca7f3fe0dc50003b1e0712f	09d4bca31e2fd8b0f57f79f85ed42bd8	Adams County, Wisconsin	2020-04-06	2020-04-06T06:00:00	0	2								https://www.dhs.wisconsin.gov/covid-19/data.htm
bbb14e987f8cdc11aff683e4143a8216	CountyAdminArea	de30bd840230da1493819f803aff6e9e	09d4bca31e2fd8b0f57f79f85ed42bd8	Addison County, Vermont	2020-04-06	2020-04-06T11:00:00		40								https://www.healthvermont.gov/response/coronavirus-covid-19/current-activity-vermont
6e9767f4f15357401b148b9a8ced14ef	Country			Afghanistan	2020-04-06		7	337								https://dashboards-dev.sprinklr.com/data/9043/global-covid19-who-gis.json
12315156c776e2d8aca490f653d191d3	CountyAdminArea	aeeb87d118446317ff4f4d5e8d19283f	09d4bca31e2fd8b0f57f79f85ed42bd8	Aiken County, South Carolina	2020-04-06		1	27								https://www.scdhec.gov/monitoring-testing-covid-19
ab65afeb26d495bfad43d5c92c2364ff	CountyAdminArea	eeaca0ed2f6a35370c77de30792debb8	09d4bca31e2fd8b0f57f79f85ed42bd8	Alachua County, Florida	2020-04-06			133								https://floridahealthcovid19.gov/
e9b268aaa23d007407194708bb54055a	CountyAdminArea	5c520b852c5d7c99a71f1635ae84e1d2	09d4bca31e2fd8b0f57f79f85ed42bd8	Alamance County, North Carolina	2020-04-06			18								https://www.ncdhhs.gov/covid-19-case-count-nc
6a2ce411226704bcb7e73995b8b6066a	CountyAdminArea	356779a9a1696714480f57fa3fb66d4c	09d4bca31e2fd8b0f57f79f85ed42bd8	Alameda County, California	2020-04-06	2020-04-06T00:00:00	13	588								http://www.acphd.org/
ab65082077765a1fb9b575f1fd14e851	CountyAdminArea	15e49475e42539feed93fc5cce25d3cb	09d4bca31e2fd8b0f57f79f85ed42bd8	Alamosa County, Colorado	2020-04-06			4								https://covid19.colorado.gov/case-data
e15997c74a71c5d9263df6f7a21bc191	StateAdminArea		09d4bca31e2fd8b0f57f79f85ed42bd8	Alaska	2020-04-06	2020-04-05T12:00:00	6	185								http://www.dhss.alaska.gov/dph/epi/id/pages/covid-19/monitoring.aspx
c420ddff824a5c0eec70dd23d62496bc	Country			Albania	2020-04-06	2020-04-06T00:00:00	22	393	128	2746						https://coronavirus.al/statistika/
d3cfc7f62df0804db23a671001d43264	CountyAdminArea	fede9f03ea10983a84201b04a1453558	09d4bca31e2fd8b0f57f79f85ed42bd8	Albany County, New York	2020-04-06			333								https://coronavirus.health.ny.gov
d97c072554cc4cf8178239893469e422	CountyAdminArea	823ee6401883db6f9e5865f51c77d97c	09d4bca31e2fd8b0f57f79f85ed42bd8	Albany County, Wyoming	2020-04-06	2020-04-06T23:00:00+0000		4								https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/novel-coronavirus/
eb017deb2b8d8a650d3f905efd30fc63	CountyAdminArea	c8b287075ce4f11c834d2a0ada967ddc	09d4bca31e2fd8b0f57f79f85ed42bd8	Albemarle County, Virginia	2020-04-06	2020-04-06T10:00:00		34								http://www.vdh.virginia.gov/coronavirus/
159ce3123ba2ffdfd4915158a06cc251	CountyAdminArea	14c5492ce2fe855f408481fdbd13f7a6	09d4bca31e2fd8b0f57f79f85ed42bd8	Alcorn County, Mississippi	2020-04-06	2020-04-05T23:00:00+0000		6								https://msdh.ms.gov/msdhsite/_static/14,0,420.html
92dfcdb336717e6724f621bb17c33f6a	CountyAdminArea	66c2b329479ee151b4c6b257c0b7a9b7	09d4bca31e2fd8b0f57f79f85ed42bd8	Alexander County, Illinois	2020-04-06											http://www.dph.illinois.gov/topics-services/diseases-and-conditions/diseases-a-z-list/coronavirus
5de5800a9623a0c3282be1b750c59380	CountyAdminArea	5c520b852c5d7c99a71f1635ae84e1d2	09d4bca31e2fd8b0f57f79f85ed42bd8	Alexander County, North Carolina	2020-04-06			2								https://www.ncdhhs.gov/covid-19-case-count-nc
